fips_a,fips_b,lc_type,accuracy,n_a,n_b,imp_st_damcat,imp_bldgtype,imp_clr
6019,6051,urban+grass,0.987578666388671,3414,209,6.890771834385359,3.3544645981849,89.75476356742975
6019,6053,urban+grass,0.9311467783205397,3414,885,15.076006989060323,6.840192984586383,78.08380002635329
6019,6069,urban+grass,0.8449181343181161,3414,2441,1.2601440712815428,2.432130710671239,96.30772521804721
6019,6107,urban+grass,0.8705090632801475,3414,5799,1.292105226315877,3.71969638481979,94.98819838886433
6021,6033,urban+grass,0.9215686274509803,815,1123,8.917837724105157,2.3854718665699894,88.69669040932483
6021,6045,urban+grass,,815,0,,,
6021,6103,urban+grass,0.9665878180171031,815,2537,9.25163317575433,2.7255664833889393,88.02280034085672
6023,6045,urban+grass,,17,0,,,
6023,6093,urban+grass,,17,744,,,
6023,6105,urban+grass,,17,0,,,
6025,6065,urban+grass,,0,30449,,,
6025,6073,urban+grass,,0,3666,,,
6027,6029,urban+grass,0.9912612674546515,693,11437,6.097121347587791,2.143108517373613,91.75977013503861
6027,6051,urban+grass,0.7671834625322997,693,209,26.91293218183359,29.51078833743636,43.57627948073004
6027,6071,urban+grass,0.9907319677870126,693,12902,2.5473722623235293,3.9073991533854975,93.545228584291
6027,6107,urban+grass,1.0,693,5799,16.631489078664785,5.992487445518148,77.37602347581705
6029,6031,urban+grass,0.9856072517128974,11437,583,11.478638492546416,0.8087455943646511,87.71261591308891
6029,6037,urban+grass,0.9567939724603792,11437,27053,16.330804034235037,3.0444770694548424,80.62471889631011
6029,6071,urban+grass,0.5961625374912692,11437,12902,30.554724776564424,49.49234572922448,19.952929494211116
6029,6079,urban+grass,0.8594008971931203,11437,15576,4.042955940328772,4.157524544941153,91.79951951473006
6029,6083,urban+grass,0.8791390728476821,11437,6683,18.883774082154233,2.3180956104014383,78.79813030744431
6029,6107,urban+grass,0.8872708008123813,11437,5799,3.494333607931411,3.0986243355126293,93.40704205655597
6029,6111,urban+grass,0.8930772584831961,11437,23925,1.3541838444050822,3.392854929896859,95.25296122569807
6031,6053,urban+grass,0.9564125036517673,583,885,5.929198218840925,6.9931061515941435,87.07769562956493
6031,6079,urban+grass,0.9998143449456663,583,15576,42.88179065564244,3.1742270704200184,53.943982273937564
6031,6107,urban+grass,0.9995299278992027,583,5799,15.666522150412018,0.21777783755519023,84.11570001203279
6033,6045,urban+grass,,1123,0,,,
6033,6055,urban+grass,0.9800768658913257,1123,5904,15.612055221497366,3.219068858752994,81.16887591974962
6033,6097,urban+grass,0.9891550232867599,1123,13907,24.169974988426898,2.5493191754532565,73.28070583611984
6033,6113,urban+grass,0.9199999999999999,1123,527,3.5912735159498896,6.693075168543629,89.71565131550648
6035,6049,urban+grass,0.9324016198748625,764,612,14.115532463505335,1.2228850287490172,84.66158250774563
