clr,alabaster,amber,aqua,aquamarine,auburn,azure,bar,beige,blue,brown,cocoa,coffee,crimson,emerald,foo,gold,gray,green,grey,indigo,ivory,lavender,lemon,lilac,maroon,navy,olive,orange,plum,purple,red,sage,scarlet,sienna,tan,terracotta,verde,yellow
cocoa,0.9766815501352061,0.9920855727152349,0.8840286305238473,0.8451326760863296,0.4817184259830496,0.9922088646928402,0.3541191526799273,0.5681727404541744,0.9922346464508752,0.9068517561226221,1.0000000000000002,0.8734794484972547,0.8124570879169304,0.3023362801172212,0.9918682427062425,0.9378580146156574,0.8874709415162352,0.9886957110529955,0.8139903052284769,0.9217721589856267,0.9917883007194522,0.9426544144717685,0.9888910770974824,0.9910531504105328,0.45363450603520006,0.993217549839385,0.9826700114937721,0.9985270288798632,0.41604032463915386,0.9948926077207688,0.9941145599127429,0.9500951682478121,0.9848818389761302,0.726408770901358,0.6693249254054567,0.9835022485930801,0.8100950209824597,0.8167234664907445
coffee,0.9251152057391246,0.8769594294071734,0.9624105170489289,0.939474500785481,0.25399376391099904,0.8517253502495035,0.35504258741336836,0.36175059397595566,0.8884428747536717,0.983413419233222,0.8734794484972547,1.0,0.8777585675076669,0.43454305456915865,0.8475015135878042,0.8723237781700547,0.9719646074118046,0.9111527542621288,0.6897206520248879,0.9660977312878782,0.8331649650258875,0.942326572400133,0.8061870184482699,0.8301192966917346,0.27707802270420173,0.8718394004417878,0.9352802629021265,0.8819734863049554,0.3398150372852453,0.8534061607981378,0.870270726148815,0.9659902373440609,0.834234667855876,0.5443996812149173,0.8361466824820828,0.9075455493714312,0.9845712788852302,0.8466730542502346
crimson,0.8863159147617393,0.8524640262124752,0.9195120315830143,0.9118802858849315,0.12343419903370983,0.8094912600752892,0.30868808201095455,0.22732361382640323,0.8450594228586933,0.9157106404525285,0.8124570879169304,0.8777585675076669,1.0000000000000002,0.31607237335368094,0.8255238695540298,0.8892438690040633,0.9282844639250697,0.8691910705153653,0.5450434947607986,0.9072306655783517,0.7899723419294497,0.9377507203083805,0.7645338430005996,0.7954984580605992,0.16225333164780778,0.830494036797832,0.8643680232185438,0.8308118055105689,0.29091858386377006,0.8161546962209835,0.8380155177432441,0.8946721453152395,0.8176018942149091,0.44561261342997766,0.6457640899235028,0.8893738076421694,0.8699258396474658,0.9021541663374982
emerald,0.2506185711414094,0.26729546745868354,0.29235889862563696,0.29798930729790213,0.69043678868237,0.2379846028313419,0.949058169648816,0.7196114976935618,0.2567510932178169,0.4251322029753348,0.3023362801172212,0.43454305456915865,0.31607237335368094,0.9999999999999997,0.22823279990097123,0.4744572747127694,0.3767378271785735,0.2727100930310725,0.7181077238083786,0.49581382956503467,0.21063702184345212,0.38069185025308694,0.268105035008531,0.2128801392531452,0.7875812751257423,0.21987265806552933,0.2929746383351529,0.3018588762598512,0.9085053996914592,0.24788796473217825,0.2733938448259388,0.4379243041608308,0.22422729121580887,0.7242936566652277,0.7979698825395442,0.27276485287007907,0.38033804651594627,0.2802240224331888
foo,0.9764801788514959,0.994337826329151,0.8769029428034304,0.8414642268092737,0.4314076403754539,0.9974168496316603,0.28938971295812344,0.5151440774400952,0.9956284691268573,0.8896331665236755,0.9918682427062425,0.8475015135878042,0.8255238695540298,0.22823279990097123,0.9999999999999997,0.9341585101641106,0.8766642344920339,0.9883821228459029,0.766083559757966,0.902220813341281,0.9968787179194701,0.9399029141154028,0.9905873729328317,0.9981449084508828,0.3961068277750196,0.9943399149668426,0.9784442129238345,0.9926025907548853,0.3580747302527157,0.9968608991876957,0.993978313822818,0.9349949040041743,0.9941541655989105,0.683421205682386,0.6052506675468884,0.9872487653491411,0.7867435464683258,0.8293816164205821
gold,0.9338495619414471,0.9477257281571723,0.8928897731553598,0.8971164192997182,0.49573575293576605,0.9360656513030214,0.5024743715776598,0.5788174154053971,0.9400994442786075,0.9159192699598689,0.9378580146156574,0.8723237781700547,0.8892438690040633,0.4744572747127694,0.9341585101641106,1.0,0.9214236161770049,0.9382282216545661,0.8231693231271885,0.9326009113322619,0.9112567866394782,0.9581627067952252,0.9162976893272909,0.9171094847852669,0.5179389545059524,0.9280857106634258,0.929344763152306,0.944993570649831,0.5449695649691243,0.936705102559101,0.948625242657163,0.9490416156822824,0.9394258146911264,0.765990315935967,0.7330590079479773,0.9461688256205176,0.7976897790368694,0.915541971177407
gray,0.9504983311914535,0.9092735600003999,0.9899218387229908,0.9825198830998835,0.21307948303312396,0.882555866343309,0.3274098647212171,0.32000364351687016,0.9107876386706614,0.9849138150974978,0.8874709415162352,0.9719646074118046,0.9282844639250697,0.3767378271785735,0.8766642344920339,0.9214236161770049,1.0000000000000002,0.9279972632376206,0.6571027585390554,0.9603526792306166,0.8508398456286338,0.9722046377413982,0.8227135147907447,0.8523509663191755,0.25093354689313496,0.8990023540010543,0.93608247624303,0.9008745412639164,0.3134362505817893,0.8826638375141329,0.903326870676638,0.9712755935858535,0.8671599354001911,0.5341955522408944,0.7828160878404702,0.9326404895908644,0.9398675298392472,0.938091762659004
green,0.9955130268243971,0.9949610621583945,0.9300111290099587,0.8895267168270012,0.3742634962911401,0.9865276252920246,0.3009238285873111,0.46835407910102017,0.996460498330784,0.9429011840206375,0.9886957110529955,0.9111527542621288,0.8691910705153653,0.2727100930310725,0.9883821228459029,0.9382282216545661,0.9279972632376206,1.0000000000000002,0.7523061090729212,0.9482832493507779,0.9816830199867121,0.9710005297433003,0.9682903138279069,0.9818221963802739,0.3534885598262573,0.9936990249480218,0.9955864613930291,0.9931904706733145,0.34566603735214524,0.9892294335367886,0.9920571946493096,0.9708361493494128,0.9764023551788508,0.647152054245983,0.6806201484953475,0.997134523070626,0.8653323456406473,0.8554738191751654
grey,0.7119178337012115,0.7658008237982222,0.6006323613392753,0.5785088052014564,0.8723982534938647,0.7743009842192031,0.7750458665495074,0.9192354430043259,0.7635988496701186,0.7071281306951201,0.8139903052284769,0.6897206520248879,0.5450434947607986,0.7181077238083786,0.766083559757966,0.8231693231271885,0.6571027585390554,0.7523061090729212,1.0000000000000002,0.7768400060774996,0.7732013936957303,0.7275927144171502,0.8214852319945033,0.7725624577873903,0.8699523978622643,0.7485531147577601,0.7561411651892664,0.8020151317309923,0.8364973532282088,0.778700163443139,0.7781407831305867,0.7790226494620496,0.7680252792740337,0.9767700255023645,0.776650371821447,0.7408591838558753,0.5908921566718285,0.5578153231490725
indigo,0.9508819339995283,0.9305603519513377,0.9490647939919963,0.9005747816858701,0.3815512394518297,0.9007765144915688,0.4773899422356618,0.4834092203794576,0.9291662821766505,0.9894347370255862,0.9217721589856267,0.9660977312878782,0.9072306655783517,0.49581382956503467,0.902220813341281,0.9326009113322619,0.9603526792306166,0.9482832493507779,0.7768400060774996,1.0000000000000002,0.8850060002723972,0.9828780703830844,0.8755459718554173,0.8849185381715095,0.40786794602945114,0.9124474190636713,0.955236507893714,0.9303133996159108,0.47118953015219356,0.905998501824812,0.9234180997977325,0.9918129385662382,0.8805985416608846,0.6613184432006834,0.8525111724142087,0.9513059224994972,0.9390654743901117,0.8517701579573971
