fips,lc_type,n_county,n_pool,num_neighbors,kl_div,l1_distance,top_color,top_contrib
6039,urban+shrub,1395,4996,5,0.6904904015487049,0.23573052856763818,coffee,0.3226904257338291
6041,forest,26207,72765,4,0.8934460999771064,0.3725931191921226,coffee,0.4156077394532891
6041,grass,141,711,4,1.1326886222232635,0.3058081165949385,coffee,0.3598373910359827
6041,shrub,694,18337,4,2.7334152910737597,0.4199952046392328,coffee,1.338499462126225
6041,urban,1495,294543,4,1.1201719870035498,0.21612080273941903,crimson,0.42533111452763456
6041,urban+barren,246,829,4,0.2560941951059825,0.13878803385480123,crimson,0.07859610835347436
6041,urban+forest,44256,148933,4,0.9282467151236683,0.3658350043281226,coffee,0.4683510540862382
6041,urban+grass,2873,261059,4,3.606285608069312,0.42368966901767574,coffee,1.2619563645748504
6041,urban+shrub,331,11961,4,2.056542103947056,0.42485947903066,coffee,0.636599518580015
6043,forest,1930,27739,4,1.837096440907077,0.4922736129294547,tan,1.6625647913104125
6043,grass,2,279,4,0.20700223197633447,0.04369085173501577,ivory,0.10350111598816723
6043,shrub,357,4259,4,1.6554241834704946,0.5830835761187523,tan,1.2568395360145967
6043,urban+forest,531,51204,4,2.652731707932494,0.4788523206571609,tan,1.550237492466179
6043,urban+shrub,39,3399,4,1.335175780288944,0.2935038484936652,tan,0.8386406562978513
6045,forest,8591,59742,6,0.5293234495472187,0.2723736958254745,coffee,0.3040095347361667
6045,urban+forest,9994,94719,6,0.521096617566836,0.24252190051682437,coffee,0.22934479448550832
6047,crop,3390,9343,6,0.690006560695985,0.26218468721441845,coffee,0.27577049789821834
6047,forest,1359,29037,6,1.0113874164958971,0.3334696078256379,coffee,0.5898953695104009
6047,grass,199,696,6,0.7433052198235446,0.2675875786109291,coffee,0.310638433283206
6047,shrub,1317,8980,6,0.8653399050873765,0.29320935824128697,coffee,0.4441669909893473
6047,urban+crop,51078,123494,6,0.488834751090897,0.2109888992545688,coffee,0.2199651965081317
6047,urban+forest,5106,102541,6,1.6952550518926621,0.4261875613616889,coffee,0.928720185606521
6047,urban+grass,3828,64580,6,1.4920865392859846,0.4167699905418924,coffee,0.4692013492905825
6047,urban+shrub,731,10161,6,1.1238463058516304,0.3304254439387018,coffee,0.44458149765675753
6049,crop,73,220,3,0.4433534862908152,0.2115545778336476,beige,0.1747646470541758
6049,forest,252,21980,3,3.0126708396802986,0.398456435330341,beige,2.224587806347671
6049,grass,8,379,3,0.42813978493192145,0.09310812219789386,beige,0.23961356796844635
6049,shrub,997,4926,3,1.1829111803595347,0.4104518718346977,beige,0.8028401290157151
6049,urban+crop,158,474,3,0.593976533585671,0.25874920280612246,beige,0.2547495827656506
