fips,lc_type,clr,y_county,y_pool,p_county,p_pool,contrib,abs_diff
6025,urban+barren,terracotta,3,1276,0.0023094688221709007,0.008051956240738989,-0.0028842898896080655,0.005742487418568087
6025,urban+barren,yellow,46,46,0.027136258660508082,0.0002963523440209338,0.1225765691209473,0.02683990631648715
6025,urban+crop,aquamarine,2608,2608,0.09675505284628222,0.08174327161074035,0.016312810419577384,0.015011781235541866
6025,urban+crop,auburn,74,74,0.002781383274615242,0.0023498449102359246,0.00046893859006067563,0.0004315383643793175
6025,urban+crop,beige,463,471,0.017207491192286296,0.014788357301751417,0.0026070144323747657,0.002419133890534879
6025,urban+crop,cocoa,6232,7651,0.2311514926756907,0.2397468433750039,-0.00843939632095882,0.008595350699313192
6025,urban+crop,emerald,70,70,0.002633042833302429,0.002224519848356675,0.0004439285319241067,0.000408522984945754
6025,urban+crop,foo,3121,3129,0.11577971444465048,0.09806686092051257,0.0192240489612983,0.0177128535241379
6025,urban+crop,gray,3121,3121,0.11577971444465048,0.09781621079675408,0.01952035037559241,0.017963503647896395
6025,urban+crop,ivory,69,81,0.002595957722974226,0.002569163768524611,2.693318909244542e-05,2.6793954449615045e-05
6025,urban+crop,navy,52,457,0.001965510847394771,0.014349719585174045,-0.003907392748225199,0.012384208737779274
6025,urban+crop,olive,3120,3135,0.11574262933432226,0.09825484851333145,0.018959153713396508,0.01748778082099081
6025,urban+crop,purple,4830,5326,0.1791581679955498,0.16690165115769026,0.012695920323242543,0.012256516837859527
6025,urban+crop,sienna,2099,2099,0.07787873168922678,0.06579565748660589,0.01313028052169893,0.012083074202620891
6025,urban+crop,terracotta,40,65,0.0015204895234563322,0.0020678635210076134,-0.00046752562422650647,0.0005473739975512812
6025,urban+crop,yellow,1028,1028,0.03816057852772112,0.032239872168436885,0.006433837455632469,0.005920706359284232
6025,urban+forest,aquamarine,3,3,0.046511627906976744,2.7327257573066253e-05,0.34602664990025367,0.046484300649403676
6025,urban+forest,beige,1,1576,0.023255813953488372,0.010773771298181372,0.017893966661682813,0.012482042655307
6025,urban+forest,cocoa,17,61861,0.20930232558139536,0.42262970199625616,-0.14708022823987585,0.2133273764148608
6025,urban+forest,emerald,1,1,0.023255813953488372,1.3663628786533127e-05,0.17301332495012683,0.023242150324701838
6025,urban+forest,foo,3,2087,0.046511627906976744,0.014264828453140584,0.054972343487107694,0.032246799453836156
6025,urban+forest,gray,2,2,0.03488372093023256,2.0495443179799692e-05,0.2595199874251903,0.03486322548705276
6025,urban+forest,olive,15,29012,0.18604651162790697,0.19821143099184282,-0.011783737542295348,0.01216491936393585
6025,urban+forest,purple,3,1644,0.046511627906976744,0.011238334676923497,0.06606379864073825,0.035273293230053245
6025,urban+forest,sienna,3,419,0.046511627906976744,0.0028693620451719568,0.12956337779990376,0.04364226586180479
6025,urban+shrub,aquamarine,4,4,0.04854368932038835,3.8105109133032555e-05,0.3470811218954639,0.048505584211255316
6025,urban+shrub,cocoa,17,31956,0.17475728155339806,0.2435449945128643,-0.05800258121898197,0.06878771295946623
6025,urban+shrub,foo,10,3115,0.10679611650485436,0.02374710401170589,0.16056379364463272,0.08304901249314847
6025,urban+shrub,gray,7,7,0.07766990291262135,6.0968174612852094e-05,0.5553297950327423,0.0776089347380085
6025,urban+shrub,olive,6,6818,0.06796116504854369,0.0519677478356298,0.01823487410746135,0.015993417212913884
6025,urban+shrub,purple,12,7839,0.1262135922330097,0.05974881112059505,0.09438585065172155,0.06646478111241466
6025,urban+shrub,sienna,5,236,0.05825242718446602,0.0018061821729057433,0.20234390907608624,0.05644624501156028
6025,urban+shrub,yellow,4,4,0.04854368932038835,3.8105109133032555e-05,0.3470811218954639,0.048505584211255316
6027,barren,aqua,39,47,0.10282776349614396,0.003513394817742644,0.34719512955058035,0.09931436867840132
6027,barren,beige,150,192,0.38817480719794345,0.014126774996340213,1.2861721331030629,0.3740480322016032
6027,barren,coffee,47,49,0.12339331619537275,0.0036597862684819207,0.43409425568984183,0.11973352992689083
6027,barren,gray,7,7,0.02056555269922879,0.0005855658029571073,0.07318856949456756,0.019979986896271684
6027,barren,indigo,8,29,0.02313624678663239,0.0021958717610891525,0.05448172875610979,0.02094037502554324
6027,barren,ivory,25,39,0.06683804627249357,0.0029278290147855364,0.20907016237815743,0.06391021725770803
6027,barren,lilac,14,23,0.038560411311053984,0.001756697408871322,0.11910503454091052,0.036803713902182664
6027,barren,maroon,1,1,0.005141388174807198,0.00014639145073927682,0.01829714237364189,0.004994996724067921
6027,barren,olive,8,12,0.02313624678663239,0.0009515444298052993,0.07382936941884904,0.02218470235682709
6027,barren,orange,47,1827,0.12339331619537275,0.13380178597569903,-0.009992705328475827,0.01040846978032628
6027,barren,plum,4,4,0.012853470437017995,0.00036597862684819204,0.04574285593410474,0.012487491810169803
6027,barren,sage,1,1,0.005141388174807198,0.00014639145073927682,0.01829714237364189,0.004994996724067921
6027,crop,beige,1,2,0.05,0.00035587188612099647,0.24726037443869006,0.049644128113879006
