h3,total_exposure,exposure_bin
8929a199587ffff,364,High (50+)
89283082d43ffff,364,High (50+)
8929a56140bffff,364,High (50+)
8929a54dbd3ffff,363,High (50+)
89283082d0bffff,362,High (50+)
8929a56732bffff,362,High (50+)
8929a561d83ffff,362,High (50+)
8929a198c17ffff,362,High (50+)
8929a199e63ffff,361,High (50+)
8928347323bffff,361,High (50+)
8929a19ab43ffff,360,High (50+)
892834468b7ffff,360,High (50+)
8929a561693ffff,359,High (50+)
8929a41a913ffff,359,High (50+)
8929a54cd1bffff,359,High (50+)
8929a41ad33ffff,359,High (50+)
8929a199d93ffff,358,High (50+)
8929a57956bffff,358,High (50+)
8928346e967ffff,357,High (50+)
8929a41b583ffff,357,High (50+)
8929a1d698fffff,357,High (50+)
8929a1c2153ffff,356,High (50+)
8929a56169bffff,356,High (50+)
89283470a87ffff,355,High (50+)
8929a0b4e87ffff,355,High (50+)
8929a1c2157ffff,354,High (50+)
89283082cafffff,354,High (50+)
89283082c2fffff,354,High (50+)
8928347a887ffff,354,High (50+)
8929a0a632bffff,354,High (50+)
8929a5609cfffff,354,High (50+)
89283080cb7ffff,353,High (50+)
89283444433ffff,353,High (50+)
8929a54d61bffff,353,High (50+)
8929a115573ffff,353,High (50+)
89283082e1bffff,352,High (50+)
8929a18b3c7ffff,352,High (50+)
89283082e6fffff,352,High (50+)
8929a188a47ffff,352,High (50+)
8929a40abd7ffff,351,High (50+)
8929a4198bbffff,351,High (50+)
89283082c8bffff,351,High (50+)
8929a561437ffff,351,High (50+)
89283444c8fffff,350,High (50+)
8929a188e83ffff,350,High (50+)
892830874d3ffff,349,High (50+)
8928346014bffff,349,High (50+)
89283082d53ffff,349,High (50+)
8928347a18fffff,349,High (50+)
89283082d13ffff,349,High (50+)
8928309597bffff,348,High (50+)
8929a41adabffff,348,High (50+)
8929a403643ffff,348,High (50+)
8929a5498dbffff,347,High (50+)
8929a40e213ffff,347,High (50+)
8928309535bffff,346,High (50+)
8929a0a4adbffff,346,High (50+)
8928308298fffff,346,High (50+)
8929a199dd3ffff,346,High (50+)
8929a5612d3ffff,346,High (50+)
8929a561697ffff,346,High (50+)
89283082d57ffff,346,High (50+)
8929a199d37ffff,345,High (50+)
89283095367ffff,345,High (50+)
8929a56518bffff,345,High (50+)
8929a418d47ffff,345,High (50+)
89283470103ffff,345,High (50+)
89283446e8fffff,345,High (50+)
8929a549497ffff,345,High (50+)
8929a549cd3ffff,345,High (50+)
8929a1c214bffff,345,High (50+)
8929a565073ffff,345,High (50+)
8929a0b4d9bffff,344,High (50+)
8929a562babffff,344,High (50+)
8929a0b4453ffff,344,High (50+)
8929a54918bffff,343,High (50+)
89283082b33ffff,343,High (50+)
8929a199dbbffff,343,High (50+)
89283082d6fffff,343,High (50+)
8929a08487bffff,343,High (50+)
89283446c57ffff,343,High (50+)
8929a0a5d87ffff,342,High (50+)
8929a565563ffff,342,High (50+)
8929a086973ffff,342,High (50+)
892834704bbffff,341,High (50+)
89283470017ffff,341,High (50+)
89283082833ffff,341,High (50+)
8929a565c2bffff,340,High (50+)
89283082d6bffff,340,High (50+)
89283082b77ffff,340,High (50+)
89283082ca7ffff,340,High (50+)
89283082ca3ffff,340,High (50+)
8929a56748fffff,340,High (50+)
89283082943ffff,339,High (50+)
8928308f093ffff,339,High (50+)
8929124e82fffff,339,High (50+)
8929a54c6c3ffff,339,High (50+)
8928347a5afffff,339,High (50+)
8928309538fffff,339,High (50+)
8929a549cafffff,339,High (50+)
8929a565c3bffff,338,High (50+)
8929a0b048fffff,338,High (50+)
8929a18b273ffff,337,High (50+)
8929a1d0e27ffff,337,High (50+)
892830828afffff,337,High (50+)
