fips,lc_type,clr,count,exposure,observed_prop,baseline_prop,shrinkage_weight,stabilized_prop,movement,abs_movement,effective_n,exposure_bin
6049,forest,orange,11,252,0.04365079365079365,0.03488503724377538,0.9618320610687023,0.04331622279556394,-0.0003345708552297058,0.0003345708552297058,262.0,100+
6049,grass,beige,4,8,0.5,0.009151310016296854,0.4444444444444444,0.22730628334238712,-0.2726937166576129,0.2726937166576129,18.0,5-10
6049,grass,ivory,4,8,0.5,0.04926664159458443,0.4444444444444444,0.249592578663658,-0.250407421336342,0.250407421336342,18.0,5-10
6049,shrub,aqua,74,997,0.07422266800401203,0.005600632401634699,0.9900695134061569,0.07354121779942041,-0.0006814502045916215,0.0006814502045916215,1007.0,100+
6049,shrub,beige,529,997,0.5305917753259779,0.01994153267905617,0.9900695134061569,0.52552076993723,-0.00507100538874794,0.00507100538874794,1007.0,100+
6049,shrub,coffee,43,997,0.04312938816449348,0.035184798496554606,0.9900695134061569,0.04305049452330243,-7.889364119104819e-05,7.889364119104819e-05,1007.0,100+
6049,shrub,foo,10,997,0.010030090270812437,0.005518599170718611,0.9900695134061569,0.009985288968924713,-4.4801301887723716e-05,4.4801301887723716e-05,1007.0,100+
6049,shrub,grey,3,997,0.003009027081243731,0.006010798556215136,0.9900695134061569,0.0030388361326337153,2.980905138998428e-05,2.980905138998428e-05,1007.0,100+
6049,shrub,indigo,3,997,0.003009027081243731,0.010037884437550338,0.9900695134061569,0.003078827054990569,6.97999737468381e-05,6.97999737468381e-05,1007.0,100+
6049,shrub,ivory,74,997,0.07422266800401203,0.021030337380306057,0.9900695134061569,0.07369444227785805,-0.0005282257261539774,0.0005282257261539774,1007.0,100+
6049,shrub,lilac,47,997,0.04714142427281846,0.007099603257465024,0.9900695134061569,0.04674378950603242,-0.0003976347667860383,0.0003976347667860383,1007.0,100+
6049,shrub,olive,48,997,0.048144433299899696,0.032544819974345975,0.9900695134061569,0.04798952154890115,-0.0001549117509985487,0.0001549117509985487,1007.0,100+
6049,shrub,orange,164,997,0.16449348044132397,0.05155415684753751,0.9900695134061569,0.16337193800245817,-0.001121542438865808,0.001121542438865808,1007.0,100+
6049,shrub,plum,1,997,0.0010030090270812437,0.00022372699340751127,0.9900695134061569,0.000995270377293024,-7.738649788219731e-06,7.738649788219731e-06,1007.0,100+
6049,shrub,sage,1,997,0.0010030090270812437,0.03644512722608358,0.9900695134061569,0.001354966506713839,0.0003519574796325953,0.0003519574796325953,1007.0,100+
6049,urban+crop,aqua,12,158,0.0759493670886076,0.004422040859870913,0.9404761904761905,0.07169178814642088,-0.0042575789421867155,0.0042575789421867155,168.0,100+
6049,urban+crop,beige,51,158,0.3227848101265823,0.005289735246528334,0.9404761904761905,0.3038862937646743,-0.01889851636190798,0.01889851636190798,168.0,100+
6049,urban+crop,coffee,8,158,0.05063291139240506,0.059625540086413825,0.9404761904761905,0.051168186909905586,0.0005352755175005233,0.0005352755175005233,168.0,100+
6049,urban+crop,foo,12,158,0.0759493670886076,0.03363738198111698,0.9404761904761905,0.07343079654649505,-0.002518570542112547,0.002518570542112547,168.0,100+
6049,urban+crop,ivory,19,158,0.12025316455696203,0.0010134954926121513,0.9404761904761905,0.11315556520789358,-0.007097599349068451,0.007097599349068451,168.0,100+
6049,urban+crop,lemon,6,158,0.0379746835443038,0.0006792197862769154,0.9404761904761905,0.03575471546346886,-0.0022199680808349387,0.0022199680808349387,168.0,100+
6049,urban+crop,lilac,22,158,0.13924050632911392,0.011402713323020572,0.9404761904761905,0.131631113888275,-0.0076093924408389135,0.0076093924408389135,168.0,100+
6049,urban+crop,olive,1,158,0.006329113924050633,0.0319748937607795,0.9404761904761905,0.007855648438141637,0.0015265345140910045,0.0015265345140910045,168.0,100+
6049,urban+crop,orange,27,158,0.17088607594936708,0.05262530893831902,0.9404761904761905,0.16384674457966183,-0.007039331369705248,0.007039331369705248,168.0,100+
6049,urban+forest,aqua,1,29,0.034482758620689655,0.0012072570027215864,0.7435897435897436,0.02595057871864656,-0.008532179902043094,0.008532179902043094,39.0,20-50
6049,urban+forest,beige,17,29,0.5862068965517241,0.004210676863150899,0.7435897435897436,0.4369770966315771,-0.149229799920147,0.149229799920147,39.0,20-50
6049,urban+forest,ivory,1,29,0.034482758620689655,0.01026715293464407,0.7435897435897436,0.028273628957601042,-0.0062091296630886125,0.0062091296630886125,39.0,20-50
6049,urban+forest,lilac,2,29,0.06896551724137931,0.011020111134947776,0.7435897435897436,0.05410772080383276,-0.014857796437546547,0.014857796437546547,39.0,20-50
6049,urban+forest,olive,4,29,0.13793103448275862,0.07613879669707944,0.7435897435897436,0.12208687094796908,-0.01584416353478954,0.01584416353478954,39.0,20-50
6049,urban+forest,orange,4,29,0.13793103448275862,0.040741348342019694,0.7435897435897436,0.1130106021389794,-0.02492043234377922,0.02492043234377922,39.0,20-50
6049,urban+grass,aqua,110,1223,0.08994276369582993,0.0030181771783209304,0.991889699918897,0.08923777921474714,-0.0007049844810827904,0.0007049844810827904,1233.0,100+
6049,urban+grass,beige,316,1223,0.2583810302534751,0.0023149591644273377,0.991889699918897,0.25630425757635383,-0.0020767726771212525,0.0020767726771212525,1233.0,100+
6049,urban+grass,coffee,57,1223,0.04660670482420278,0.008451087973245097,0.991889699918897,0.04629725132176192,-0.00030945350244086095,0.00030945350244086095,1233.0,100+
6049,urban+grass,foo,36,1223,0.029435813573180702,0.020284913623146137,0.991889699918897,0.02936159702857377,-7.421654460693095e-05,7.421654460693095e-05,1233.0,100+
6049,urban+grass,gold,2,1223,0.001635322976287817,0.0009248324220919825,0.991889699918897,0.0016295606846884994,-5.762291599317477e-06,5.762291599317477e-06,1233.0,100+
6049,urban+grass,grey,3,1223,0.0024529844644317253,0.0020607261853252887,0.991889699918897,0.002449803132078875,-3.181332352850206e-06,3.181332352850206e-06,1233.0,100+
6049,urban+grass,indigo,3,1223,0.0024529844644317253,0.012316388625328705,0.991889699918897,0.0025329796319978003,7.999516756607497e-05,7.999516756607497e-05,1233.0,100+
6049,urban+grass,ivory,124,1223,0.10139002452984465,0.012884335506945357,0.991889699918897,0.10067221683298415,-0.0007178076968605007,0.0007178076968605007,1233.0,100+
6049,urban+grass,lemon,86,1223,0.07031888798037612,0.016329432216211238,0.991889699918897,0.06988101729291331,-0.00043787068746281577,0.00043787068746281577,1233.0,100+
6049,urban+grass,lilac,208,1223,0.17007358953393295,0.01360674091548816,0.991889699918897,0.16880459643889284,-0.0012689930950401107,0.0012689930950401107,1233.0,100+
6049,urban+grass,olive,68,1223,0.05560098119378577,0.021370920160291493,0.991889699918897,0.055323365127009666,-0.00027761606677610684,0.00027761606677610684,1233.0,100+
6049,urban+grass,orange,196,1223,0.16026165167620604,0.06055062066424841,0.991889699918897,0.15945296529330288,-0.0008086863829031565,0.0008086863829031565,1233.0,100+
6049,urban+grass,plum,13,1223,0.01062959934587081,0.0002206550384659294,0.991889699918897,0.010545179684010267,-8.441966186054257e-05,8.441966186054257e-05,1233.0,100+
6049,urban+grass,sage,1,1223,0.0008176614881439084,0.043960239880807904,0.991889699918897,0.001167560745180925,0.00034989925703701654,0.00034989925703701654,1233.0,100+
6049,urban+shrub,aqua,19,267,0.07116104868913857,0.0011045103743837215,0.9638989169675091,0.06863193178246874,-0.0025291169066698344,0.0025291169066698344,277.0,100+
6049,urban+shrub,auburn,1,267,0.003745318352059925,0.00013937039424400272,0.9638989169675091,0.003615139725423971,-0.00013017862663595395,0.00013017862663595395,277.0,100+
6049,urban+shrub,beige,97,267,0.36329588014981273,0.00666887336457553,0.9638989169675091,0.3504212589662302,-0.012874621183582513,0.012874621183582513,277.0,100+
6049,urban+shrub,coffee,17,267,0.06367041198501873,0.007543422588456647,0.9638989169675091,0.0616441668804497,-0.00202624510456903,0.00202624510456903,277.0,100+
6049,urban+shrub,foo,16,267,0.0599250936329588,0.027313113011968433,0.9638989169675091,0.058747765812706444,-0.001177327820252358,0.001177327820252358,277.0,100+
6049,urban+shrub,grey,2,267,0.00749063670411985,0.0024773087576871484,0.9638989169675091,0.007309650135656576,-0.00018098656846327402,0.00018098656846327402,277.0,100+
6049,urban+shrub,indigo,2,267,0.00749063670411985,0.0032542987055974634,0.9638989169675091,0.007337700314281497,-0.00015293638983835366,0.00015293638983835366,277.0,100+
6049,urban+shrub,ivory,19,267,0.07116104868913857,0.03358826501280465,0.9638989169675091,0.06980463050587743,-0.0013564181832611405,0.0013564181832611405,277.0,100+
6049,urban+shrub,lemon,8,267,0.0299625468164794,0.043480078744272746,0.9638989169675091,0.030450544358999014,0.000487997542519613,0.000487997542519613,277.0,100+
6049,urban+shrub,lilac,33,267,0.12359550561797752,0.04172052751694221,0.9638989169675091,0.12063973023526867,-0.0029557753827088584,0.0029557753827088584,277.0,100+
6049,urban+shrub,olive,3,267,0.011235955056179775,0.047009633978502115,0.9638989169675091,0.012527423609332204,0.0012914685531524289,0.0012914685531524289,277.0,100+
6049,urban+shrub,orange,46,267,0.17228464419475656,0.09201581853974669,0.9638989169675091,0.1693868526548645,-0.0028977915398920584,0.0028977915398920584,277.0,100+
6049,urban+shrub,plum,4,267,0.0149812734082397,0.0001742129928050034,0.9638989169675091,0.014446722490714983,-0.0005345509175247176,0.0005345509175247176,277.0,100+
6051,barren,aqua,8,87,0.09195402298850575,0.0019822023533381133,0.8969072164948454,0.0826785775621998,-0.009275445426305942,0.009275445426305942,97.0,50-100
6051,barren,beige,42,87,0.4827586206896552,0.009911011766690566,0.8969072164948454,0.43401144451203,-0.048747176177625196,0.048747176177625196,97.0,50-100
6051,barren,coffee,2,87,0.022988505747126436,0.0035848340432710554,0.8969072164948454,0.020988127220955777,-0.0020003785261706597,0.0020003785261706597,97.0,50-100
6051,barren,ivory,14,87,0.16091954022988506,0.0067900974231369406,0.8969072164948454,0.14502990695083887,-0.01588963327904619,0.01588963327904619,97.0,50-100
6051,barren,lemon,1,87,0.011494252873563218,0.0019822023533381133,0.8969072164948454,0.010513629108591558,-0.0009806237649716606,0.0009806237649716606,97.0,50-100
6051,barren,lilac,9,87,0.10344827586206896,0.001265235544683902,0.8969072164948454,0.0929139418087303,-0.01053433405333866,0.01053433405333866,97.0,50-100
6051,barren,olive,4,87,0.04597701149425287,0.015098477499894564,0.8969072164948454,0.042793657474215936,-0.0031833540200369367,0.0031833540200369367,97.0,50-100
6051,barren,orange,7,87,0.08045977011494253,0.12226392813462106,0.8969072164948454,0.08476947712728053,0.004309707012338002,0.004309707012338002,97.0,50-100
6051,crop,beige,1,4,0.25,0.007847971855549208,0.2857142857142857,0.07703426561110657,-0.17296573438889343,0.17296573438889343,14.0,<5
6051,crop,coffee,1,4,0.25,0.06239287969450041,0.2857142857142857,0.11599491406750029,-0.1340050859324997,0.1340050859324997,14.0,<5
6051,crop,grey,1,4,0.25,0.045704663679826806,0.2857142857142857,0.10407475977130486,-0.14592524022869513,0.14592524022869513,14.0,<5
6051,crop,ivory,1,4,0.25,0.006585079832817151,0.2857142857142857,0.07613219988058367,-0.17386780011941633,0.17386780011941633,14.0,<5
6051,forest,aqua,263,2938,0.08951667801225323,0.0033590406974949214,0.9966078697421981,0.08922442008377712,-0.00029225792847610566,0.00029225792847610566,2948.0,100+
6051,forest,beige,1199,2938,0.4081007488087134,0.0071708932537207755,0.9966078697421981,0.40674074251442915,-0.0013600062942842328,0.0013600062942842328,2948.0,100+
6051,forest,coffee,18,2938,0.006126616746085773,0.09741012199163121,0.9966078697421981,0.00643626228626741,0.00030964554018163715,0.00030964554018163715,2948.0,100+
6051,forest,foo,13,2938,0.004424778761061947,0.0019532656997075246,0.9966078697421981,0.004416395066823974,-8.383694237972493e-06,8.383694237972493e-06,2948.0,100+
6051,forest,grey,1,2938,0.0003403675970047651,0.012907196209553095,0.9966078697421981,0.0003829959165860015,4.262831958123638e-05,4.262831958123638e-05,2948.0,100+
6051,forest,indigo,1,2938,0.0003403675970047651,0.02190168631252663,0.9966078697421981,0.0004135063986177981,7.3138801613033e-05,7.3138801613033e-05,2948.0,100+
6051,forest,ivory,304,2938,0.10347174948944861,0.007197650318100331,0.9966078697421981,0.10314517520460685,-0.00032657428484175743,0.00032657428484175743,2948.0,100+
6051,forest,lilac,146,2938,0.049693669162695714,0.0028300741170683313,0.9966078697421981,0.04953470174395207,-0.00015896741874364684,0.00015896741874364684,2948.0,100+
6051,forest,olive,635,2938,0.21613342409802586,0.10572127783506534,0.9966078697421981,0.21575889171585844,-0.0003745323821674196,0.0003745323821674196,2948.0,100+
6051,forest,orange,357,2938,0.12151123213070116,0.03488503724377538,0.9966078697421981,0.12121738479390697,-0.0002938473367941896,0.0002938473367941896,2948.0,100+
