fips,lc_type,bldgtype,freq
6103,urban+grass,M,0.1297971156196529
6103,shrub,W,0.09802004399902224
6103,shrub,M,0.09007577609386458
6103,urban+forest,M,0.05377658274260572
6103,urban+forest,W,0.05292104619897336
6103,urban+shrub,W,0.027010510877536056
6103,urban+shrub,M,0.02688829137130286
6103,forest,H,0.02102175507210951
6103,urban+grass,H,0.019310681984844782
6103,urban+grass,C,0.0164996333414813
6103,grass,W,0.008310926423857248
6103,shrub,H,0.007210950867758494
6103,crop,W,0.005499877780493767
6103,urban+forest,H,0.0046443412368614035
6103,grass,M,0.004277682718161819
6103,urban+shrub,H,0.004277682718161819
6103,urban+grass,S,0.0034221461745294547
6103,crop,M,0.0031777071620630653
6103,forest,S,0.0024443901246638962
6103,forest,C,0.001955512099731117
6103,urban+shrub,C,0.0015888535810315327
6103,urban+crop,W,0.0014666340747983377
6103,crop,C,0.0012221950623319481
6103,urban+crop,M,0.0010999755560987534
6103,urban+forest,C,0.0010999755560987534
6103,grass,H,0.0008555365436323637
6103,urban+forest,S,0.0008555365436323637
6103,crop,H,0.0007333170373991689
6103,urban+crop,C,0.0007333170373991689
6103,shrub,C,0.0004888780249327792
6103,crop,S,0.0002444390124663896
6103,shrub,S,0.0002444390124663896
6103,grass,C,0.0001222195062331948
6103,grass,S,0.0001222195062331948
6103,urban+crop,H,0.0001222195062331948
6103,urban+shrub,S,0.0001222195062331948
6101,urban+crop,W,0.3628479507623444
6101,urban+crop,M,0.35151769478248707
6101,crop,W,0.03776751993285774
6101,urban+crop,C,0.02951461742901105
6101,crop,M,0.028815218911735906
6101,urban+forest,M,0.027836060987550707
6101,urban+forest,W,0.027276542173730593
6101,forest,W,0.02629738424954539
6101,forest,M,0.0209819555182543
6101,urban+crop,H,0.020142677297524128
6101,urban+crop,S,0.013987970345502868
6101,shrub,M,0.012449293607497552
6101,shrub,W,0.012309413904042523
6101,urban+shrub,W,0.008672541614211778
6101,urban+shrub,M,0.006434466358931319
6101,crop,H,0.0022380752552804586
6101,crop,S,0.0022380752552804586
6101,crop,C,0.0015386767380053154
6101,urban+forest,C,0.0013987970345502867
6101,urban+forest,S,0.001258917331095258
6101,forest,S,0.0011190376276402293
6101,urban+shrub,S,0.0009791579241852006
6101,forest,H,0.000839278220730172
6101,urban+shrub,C,0.000839278220730172
6101,urban+forest,H,0.000419639110365086
6101,shrub,S,0.00027975940691005733
6099,urban,W,0.1815349465157337
6099,urban,M,0.17761449787101463
6099,urban+forest,W,0.1075137605151106
