fips,bldgtype,freq
6043,M,0.46449359720605354
6043,C,0.011641443538998836
6043,S,0.008731082654249126
6043,H,0.008149010477299184
6041,W,0.47245707083967864
6041,M,0.4603266292075828
6041,C,0.04264034028251851
6041,S,0.01864202069001733
6041,H,0.005933938980202699
6039,W,0.4588372732270478
6039,M,0.4433067619571193
6039,H,0.06274051676745465
6039,C,0.022333699835074217
6039,S,0.012781748213304012
6037,W,0.43346415918368264
6037,M,0.42732874881212074
6037,C,0.08880281990739597
6037,S,0.03730221670062747
6037,H,0.013102055396173175
6035,W,0.4637763833428408
6035,M,0.3973188819167142
6035,H,0.08956075299486595
6035,C,0.03223046206503138
6035,S,0.017113519680547633
6033,W,0.3683604815864023
6033,M,0.32170679886685555
6033,H,0.2827549575070821
6033,C,0.017351274787535412
6033,S,0.009826487252124646
6031,W,0.47499314254365915
6031,M,0.45487793727713266
6031,C,0.02825272012434854
6031,H,0.028161287373137056
6031,S,0.013714912681722593
6029,W,0.43817486145341156
6029,M,0.40462412004193843
6029,H,0.09599542489889844
6029,C,0.04005936738334173
6029,S,0.021146226222409827
6027,W,0.383289124668435
6027,M,0.3149867374005305
6027,H,0.23209549071618038
6027,C,0.034814323607427054
6027,S,0.034814323607427054
6025,W,0.42109662320294217
6025,M,0.4012871949180876
6025,H,0.1259612169842862
6025,C,0.03401872283517218
6025,S,0.017636242059511868
6023,W,0.4547365143613295
6023,M,0.4152720479489375
6023,H,0.07558184790223399
6023,C,0.038997431306919905
6023,S,0.015412158480579124
6021,W,0.44090056285178236
6021,M,0.3771106941838649
6021,H,0.13477173233270795
6021,C,0.025953721075672294
6021,S,0.021263289555972485
6019,W,0.463175500317204
6019,M,0.4317290501182306
6019,C,0.047090374300709385
6019,H,0.03921794797854548
6019,S,0.01878712728531057
6017,W,0.4637041356045146
6017,M,0.4486693598767232
6017,H,0.06434550830869185
6017,C,0.014743242680438133
6017,S,0.008537753529632252
6015,W,0.3477038425492034
6015,H,0.30927835051546393
6015,M,0.3045923149015933
6015,C,0.02655420181193377
6015,S,0.011871290221805686
6013,W,0.4739342332229006
6013,M,0.46340662048572134
6013,C,0.03077512800153328
6013,S,0.021041535470799223
6013,H,0.010842482819045533
6011,W,0.48319709355131696
6011,M,0.45413260672116257
6011,C,0.03178928247048138
6011,H,0.01634877384196185
6011,S,0.014532243415077202
6009,W,0.46692649128504926
6009,M,0.4465735628450796
6009,H,0.053480567283750134
6009,C,0.019378586121034966
6009,S,0.013640792465086067
6007,W,0.4313743551952837
6007,M,0.37721075902726603
6007,H,0.14287030213706706
6007,C,0.03339167280766397
6007,S,0.015152910832719234
6005,M,0.47524358719427323
6005,W,0.4563531517200239
6005,H,0.032809703718433086
6005,C,0.0208789023662756
6005,S,0.014714655000994234
6003,W,0.4766666666666667
6003,M,0.4533333333333333
6003,H,0.056666666666666664
6003,C,0.013333333333333334
6001,M,0.43903968136893345
6001,W,0.43813000934257756
6001,C,0.07568717116585534
6001,S,0.03847666814181049
6001,H,0.00866646998082313
