fips,lc_type,freq
6041,urban+forest,0.47145932888725517
6041,forest,0.4352780549283201
6041,urban+grass,0.03502599380349735
6041,shrub,0.02363073045213464
6041,urban,0.019534737173764638
6041,urban+shrub,0.007351782807330778
6041,urban+barren,0.004726146090426929
6041,grass,0.002993225857270388
6039,urban+crop,0.2949422759758109
6039,forest,0.291368884002199
6039,urban+forest,0.15867234744365036
6039,urban+grass,0.08308136338647609
6039,shrub,0.0768279274326553
6039,urban+shrub,0.07146783947223749
6039,crop,0.022814733369983506
6039,grass,0.0008246289169873557
6037,urban,0.8016112472788298
6037,urban+forest,0.07343621172669904
6037,urban+grass,0.060776732618771076
6037,urban+shrub,0.033453824915023106
6037,shrub,0.011448572410647891
6037,forest,0.011210434915449955
6037,urban+barren,0.005468176068978997
6037,grass,0.0024083339136998705
6037,urban+crop,7.863030501818607e-05
6037,barren,6.739740430130235e-05
6037,urban+other,3.594528229402792e-05
6037,crop,4.49316028675349e-06
6035,shrub,0.23531089560752994
6035,urban+grass,0.21791215059897318
6035,forest,0.21620079863091843
6035,urban+forest,0.17427267541357672
6035,urban+shrub,0.09184255561893896
6035,grass,0.049914432401597264
6035,crop,0.011694238448374215
6035,urban+crop,0.002852253280091272
6033,forest,0.4514872521246459
6033,urban+forest,0.3742032577903683
6033,urban+grass,0.0994157223796034
6033,shrub,0.051257082152974504
6033,urban+shrub,0.014783994334277621
6033,grass,0.007524787535410765
6033,crop,0.0011508498583569404
6033,urban+crop,0.00017705382436260624
6031,urban+crop,0.7878760171893572
6031,crop,0.10523909664441804
6031,urban+grass,0.053305293956295144
6031,forest,0.016275029715644145
6031,urban+forest,0.010149035384474718
6031,shrub,0.008960409618725428
6031,urban+barren,0.008868976867513943
6031,urban+shrub,0.007954649355399104
6031,grass,0.0007314620096918717
6031,barren,0.0006400292584803877
6029,urban,0.4624800860554731
6029,urban+grass,0.15573045029343283
6029,urban+crop,0.09095736713824702
6029,urban+barren,0.06731934478016367
6029,shrub,0.0667474571424681
6029,urban+forest,0.050298879372557566
6029,urban+shrub,0.038452635448863716
6029,forest,0.02640214594027859
6029,crop,0.018627197342084123
6029,grass,0.012581528029302434
6029,barren,0.010402908457128851
6027,urban+barren,0.35709549071618035
6027,urban+grass,0.22977453580901858
6027,shrub,0.10046419098143236
6027,barren,0.08653846153846154
6027,urban+shrub,0.0659814323607427
6027,grass,0.0603448275862069
6027,forest,0.05172413793103448
6027,urban+forest,0.042440318302387266
6027,urban+crop,0.004973474801061008
6027,crop,0.000663129973474801
6025,urban+crop,0.6413406887328653
6025,crop,0.12537612838515547
6025,barren,0.09018722835172183
6025,urban,0.0665329321297225
6025,urban+barren,0.0663657639585423
6025,forest,0.003009027081243731
6025,urban+shrub,0.003009027081243731
6025,urban+forest,0.0026746907388833165
6025,shrub,0.0015045135406218655
6023,forest,0.5367011753716822
6023,urban+forest,0.44251576243480967
6023,shrub,0.009418541293687242
6023,urban+shrub,0.006460652292363976
6023,urban,0.0027243714485872188
6023,urban+grass,0.0013232661321709348
6023,urban+barren,0.0008562310266988402
6021,urban+crop,0.29362101313320826
6021,urban+grass,0.25484677923702315
6021,urban+forest,0.13227016885553472
6021,forest,0.11444652908067542
6021,shrub,0.10287679799874921
6021,crop,0.06035021888680425
6021,urban+shrub,0.032207629768605375
6021,grass,0.009380863039399626
6019,urban,0.6170915277697676
6019,urban+crop,0.13315358440509834
6019,urban+barren,0.06346963492704308
6019,urban+grass,0.04922429205836554
6019,crop,0.030062287329142397
6019,forest,0.02795720629794106
6019,shrub,0.027193033046888516
6019,urban+shrub,0.02443912567045389
6019,urban+forest,0.01900340273372167
6019,barren,0.004512947690178211
6019,grass,0.003892958071399735
6017,forest,0.6424138936320853
6017,urban+forest,0.3340968722668777
6017,urban+grass,0.017033859481071174
6017,shrub,0.004164757819332805
6017,urban+shrub,0.002290616800633043
6015,forest,0.7147766323024055
6015,urban+forest,0.2852233676975945
6013,urban+grass,0.2916929058401555
6013,urban,0.2897215453276018
6013,urban+forest,0.18979820934753444
6013,forest,0.11249075924759741
6013,urban+crop,0.04336993127618213
6013,urban+shrub,0.03189770829340416
6013,shrub,0.031048928072721298
6013,crop,0.007419981929195301
6013,urban+barren,0.0017386304520439176
6013,grass,0.0007529501957670509
6013,urban+other,4.107001067820278e-05
6013,other,2.738000711880185e-05
6011,urban+crop,0.6039963669391463
6011,urban+forest,0.13578564940962762
6011,crop,0.10036330608537693
6011,forest,0.08900999091734786
6011,shrub,0.041326067211625794
6011,urban+shrub,0.025431425976385105
6011,urban+grass,0.002270663033605813
6011,grass,0.0018165304268846503
6009,forest,0.5580816282342752
6009,shrub,0.1471256901591426
6009,urban+forest,0.14355310165638194
6009,urban+grass,0.07946302912200931
