fips,lc_type,clr,count,exposure
6009,urban+forest,olive,725,2935
6009,urban+forest,purple,305,2935
6009,urban+forest,sienna,197,2935
6009,urban+forest,tan,76,2935
6009,urban+forest,terracotta,7,2935
6009,urban+grass,aqua,189,1580
6009,urban+grass,cocoa,317,1580
6009,urban+grass,emerald,3,1580
6009,urban+grass,foo,170,1580
6009,urban+grass,gray,205,1580
6009,urban+grass,ivory,4,1580
6009,urban+grass,maroon,2,1580
6009,urban+grass,navy,2,1580
6009,urban+grass,olive,204,1580
6009,urban+grass,purple,239,1580
6009,urban+grass,sienna,187,1580
6009,urban+grass,tan,9,1580
6009,urban+grass,terracotta,4,1580
6009,urban+grass,yellow,45,1580
6009,urban+shrub,aqua,63,1065
6009,urban+shrub,cocoa,322,1065
6009,urban+shrub,emerald,2,1065
6009,urban+shrub,foo,109,1065
6009,urban+shrub,gray,128,1065
6009,urban+shrub,ivory,1,1065
6009,urban+shrub,maroon,1,1065
6009,urban+shrub,navy,1,1065
6009,urban+shrub,olive,130,1065
6009,urban+shrub,purple,138,1065
6009,urban+shrub,sienna,133,1065
6009,urban+shrub,tan,21,1065
6009,urban+shrub,terracotta,2,1065
6009,urban+shrub,yellow,14,1065
6011,crop,aquamarine,23,338
6011,crop,beige,114,338
6011,crop,coffee,14,338
6011,crop,foo,1,338
6011,crop,grey,13,338
6011,crop,indigo,2,338
6011,crop,ivory,109,338
6011,crop,lilac,17,338
6011,crop,olive,5,338
6011,crop,orange,38,338
6011,crop,plum,2,338
6011,forest,aquamarine,26,354
6011,forest,beige,198,354
6011,forest,coffee,5,354
6011,forest,ivory,24,354
6011,forest,lilac,24,354
6011,forest,olive,63,354
6011,forest,orange,12,354
6011,forest,sage,2,354
6011,grass,beige,2,4
6011,grass,ivory,2,4
6011,shrub,aquamarine,12,125
6011,shrub,beige,69,125
6011,shrub,ivory,20,125
6011,shrub,lilac,12,125
6011,shrub,olive,6,125
6011,shrub,orange,6,125
6011,urban+crop,aquamarine,305,3544
6011,urban+crop,auburn,8,3544
